,Anuário: Tabela 2.4,,,,,,,,,,,
,,,,,,,,,,,,
Índice,,,,,,,,,,,,
Index,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Tabela 2.4 Geração elétrica por região e unidade da federação no Brasil (GWh),,,,,,,,,,,
,Brazil electricity generation by region and state (GWh) ,,,,,,,,,,,
, ,2012,2013,2014,2015,2016,2017,2018,2019,Δ% (2019/2018),Part. % (2019),  
,Brasil,552.498,570.835,590.542,581.486,578.898,587.962,601.396,626.324,"4,1","100,0",Brazil
,Norte,69.906,71.668,80.701,87.111,72.206,94.762,112.593,121.066,"7,5","19,3",North
,Rondônia,4.166,6.407,15.148,26.463,23.163,34.238,36.625,39.064,"6,7","6,2",Rondônia
,Acre,372,234,250,281,241,189,242,252,"4,2","0,0",Acre
,Amazonas,9.556,9.970,8.946,9.143,6.699,7.070,8.813,10.455,"18,6","1,7",Amazonas
,Roraima,128,169,245,194,156,120,302,1.102,"265,1","0,2",Roraima
,Pará,41.223,41.191,41.951,38.304,31.774,43.002,54.142,58.628,"8,3","9,4",Pará
,Amapá,1.704,1.816,1.933,2.380,1.891,2.660,3.161,3.192,"1,0","0,5",Amapá
,Tocantins,12.758,11.881,12.228,10.347,8.282,7.484,9.308,8.373,"-10,0","1,3",Tocantins
,Nordeste,76.277,79.856,96.454,94.253,93.079,96.028,96.389,108.119,"12,2","17,3",Northeast
,Maranhão,3.621,11.181,15.972,13.781,14.741,14.400,13.209,13.209,"0,0","2,1",Maranhão
,Piauí,723,731,990,1.444,3.619,5.552,7.068,7.765,"9,9","1,2",Piauí
,Ceará,4.425,10.396,15.957,16.519,14.343,15.547,12.957,14.396,"11,1","2,3",Ceará
,Rio Grande do Norte,2.920,3.756,7.012,10.546,13.766,15.922,16.052,16.273,"1,4","2,6",Rio Grande do Norte
,Paraíba,1.010,1.854,3.435,3.356,1.496,1.895,1.838,1.570,"-14,6","0,3",Paraíba
,Pernambuco,8.395,9.733,12.714,11.032,10.998,11.767,10.570,10.166,"-3,8","1,6",Pernambuco
,Alagoas,19.325,13.029,11.375,10.052,8.504,6.138,5.950,8.211,"38,0","1,3",Alagoas
,Sergipe,10.042,6.760,5.896,5.233,4.333,2.979,2.834,4.186,"47,7","0,7",Sergipe
,Bahia,25.816,22.416,23.103,22.289,21.279,21.827,25.911,32.342,"24,8","5,2",Bahia
,Sudeste,204.799,193.915,181.291,168.301,180.437,183.453,171.702,182.008,"6,0","29,1",Southeast
,São Paulo,78.539,75.517,65.507,62.654,73.460,72.576,66.495,68.718,"3,3","11,0",São Paulo
,Minas Gerais,71.655,54.013,46.134,37.695,47.070,44.922,44.239,53.108,"20,0","8,5",Minas Gerais
,Espírito Santo,6.995,8.464,10.352,9.757,9.179,7.990,9.472,8.457,"-10,7","1,4",Espírito Santo
,Rio de Janeiro,47.610,55.921,59.298,58.195,50.728,57.965,51.496,51.725,"0,4","8,3",Rio de Janeiro
,Sul,127.612,156.413,162.249,166.970,171.225,148.196,146.835,136.332,"-7,2","21,8",South
,Paraná,92.819,103.447,98.797,99.410,109.880,96.817,93.737,81.733,"-12,8","13,1",Paraná
,Santa Catarina,16.963,25.660,29.416,31.258,28.116,21.150,22.425,22.971,"2,4","3,7",Santa Catarina
,Rio Grande do Sul,17.829,27.306,34.036,36.302,33.229,30.230,30.673,31.629,"3,1","5,1",Rio Grande do Sul
,Centro-Oeste,73.904,68.983,69.847,64.852,61.951,65.523,73.878,78.801,"6,7","12,6",Midwest
,Mato Grosso do Sul,25.896,25.281,24.344,23.611,24.303,24.129,25.209,25.458,"1,0","4,1",Mato Grosso do Sul
,Mato Grosso,10.802,12.361,14.261,14.253,13.428,19.952,23.513,26.772,"13,9","4,3",Mato Grosso
,Goiás,37.075,31.212,31.116,26.869,24.135,21.375,25.058,26.456,"5,6","4,2",Goiás
,Distrito Federal,130,129,127,119,85,67,98,115,"16,7","0,0",Distrito Federal
,,,,,,,,,,,,
,Fonte: Balanço Energético Nacional 2020; Elaboração EPE,,,,,,,,,,,
,Nota: Inclui autoprodução,,,,,,,,,,,
